Pname,ExpirationDate,strength,DrugInteraction,AmountAvailable
MICRELL Antibacterial Foam Handwash,2021-10-18,10mg,Se-Natal One,239
SALICYLIC ACID,2021-11-26,5mg,"American Continental Techlabs, LLC INSTANT HAND SANITIZER",174
Salicylic Acid,2021-03-11,25mg,Anti Diarrheal,911
Doxycycline,2021-08-08,20mg,Warfarin Sodium,110
Triple Antibiotic,2021-03-18,100mg,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,182
CHENOPODIUM ALBUM POLLEN,2020-12-29,100mg,Indigestion - Gas,363
Escitalopram,2021-07-30,10mg,Gabapentin,804
Nitrogen,2021-02-07,15mg,Purminerals 4 in 1 Makeup SPF 15 Dark,867
Burweed Marsh Elder,2021-03-07,10mg,Dextroamphetamine,486
Promethazine Hydrochloride and Codeine Phosphate,2021-08-22,50mg,Escitalopram,11
Dicyclomine,2020-12-28,5mg,Fluaid,209
Stool Softener DC Laxative,2021-10-28,20mg,Dovonex,359
Scilla Crataegus,2021-11-23,100mg,Mitomycin,643
VITALUMIERE,2020-12-21,10mg,Suphedrine,809
Plavix,2021-11-15,20mg,Benztropine Mesylate,555
Epoch,2021-08-15,100mg,Rituxan,62
Prednisolone,2021-07-23,100mg,Leader Childrens Ibuprofen,540
SILICEA,2021-06-02,100mg,OXYGEN,747
Enfuselle Time Repair A.M. SPF15,2021-10-04,5mg,Roccos Old School,823
Niaspan,2021-07-04,100mg,Fluide Fondant Desalterant SPF 15 Hydra Quench - Formula B,523
Midwest Regional Allergies,2021-06-12,15mg,AMILORIDE HYDROCHLORIDE,811
Clonidine Hydrochloride,2021-04-18,15mg,Enalapril Maleate,753
Acne and Blackhead Terminator,2021-03-11,100mg,HIBERIX,425
Sebex,2021-07-24,25mg,CYZONE,106
Cardizem CD,2021-06-19,100mg,Superdent,36
Nasal Decongestant PE,2021-11-27,25mg,CARBON DIOXIDE,717
Metformin Hydrochloride,2021-07-30,15mg,Riluzole,551
Constipation Symptom Formula,2021-10-13,25mg,LIDODERM,176
Banana Boat Ultra Defense Sheer Protect FPS 50 LATAM,2021-07-20,20mg,Sinus Headaches and Infections,848
Doxycycline Hyclate,2021-03-14,5mg,BencoCaine Topical Anesthetic,541
Norethindrone Acetate,2021-02-18,50mg,RENUTRIV,600
Ceftriaxone,2021-04-18,500mg,Metoclopramide,922
Ketodan,2021-10-08,25mg,Sirolimus,823
Light Foundation SPF 15,2021-04-25,5mg,etomidate,913
Prevail,2021-05-16,10mg,Donnatal,421
Sodium Chloride,2021-04-15,20mg,Risperidone,331
Mercaptopurine,2021-07-28,15mg,Dismen-aid pms,795
Enalapril Maleate,2021-10-29,5mg,Sulfamethoxazole and Trimethoprim,49
Zylast XP Antiseptic Foaming,2021-11-13,20mg,ProFormance Series Foam Non-Alcohol Sanitizer,889
TopCare Cough DM,2021-11-03,10mg,cough and sore throat,758
Hydroxyzine Hydrochloride,2021-08-02,25mg,SEROQUEL,842
Carvedilol,2021-08-05,15mg,Dopamine HCl,478
Simvastatin,2021-07-31,100mg,Diclofenac Potassium,266
ORIGINAL HEALING,2021-12-02,10mg,TOPIRAMATE,469
Alendronate Sodium,2021-08-27,10mg,Testim,96
ACETAMINOPHEN AND CODEINE,2021-09-11,100mg,Diltiazem Hydrochloride,114
Ergoloid Mesylates,2021-06-08,25mg,Amitriptyline Hydrochloride,799
Lidocaine Hydrochloride,2021-07-24,100mg,ALOE SUN BB,690
Caduet,2020-12-23,50mg,ALETRIS FARINOSA,132
AcipHex,2020-12-16,100mg,Cyclobenzaprine Hydrochloride,561
HGH Plus,2020-12-21,200mg,Acyclovir,654
Azithromycin,2021-02-24,15mg,Progena,288
Pravastatin Sodium,2020-12-11,25mg,Nicotine polacrilex,263
REXALL,2020-12-11,500mg,DONEPEZIL HYDROCHLORIDE,443
OXCARBAZEPINE,2021-08-18,100mg,Terbinafine Hydochloride,966
Naturasil,2021-09-27,25mg,ORFADIN,37
take cover anti-aging foundation,2021-02-08,50mg,Old Spice,359
BANANA BOAT,2021-11-30,100mg,Betamethasone Dipropionate,774
ACTEMRA,2021-11-05,100mg,Alcohol Prep Pad,675
Testosterone Cypionate,2021-10-30,5mg,Wart Control,505
XANTHIUM STRUMARIUM VAR CANADENSE POLLEN,2021-08-03,15mg,Anti-Itch,30
Atripla,2021-05-29,200mg,Morphine Sulfate,187
RICHENNAPHARM,2021-04-20,25mg,Zenzedi,535
Visine Original,2021-09-24,5mg,Zodryl DEC 50,457
Silent Nights,2021-01-03,50mg,Donepezil Hydrochloride,421
Gentamicin Sulfate,2021-07-14,200mg,Prilocaine Hydrochloride with Epinephrine,412
Oxycodone and Acetaminophen,2021-01-10,15mg,Be gone Sinus Congestion,964
Sertraline Hydrochloride,2021-08-05,5mg,Clobetasol Propionate,850
Trexall,2021-09-13,20mg,Oxycodone Hydrochloride and Acetaminophen,280
Watermelon,2021-07-14,500mg,OSENI,267
Inflammation,2021-09-29,500mg,Amlodipine Besylate,973
Caduet,2021-03-02,5mg,Coppertone Clearly Sheer For Beach and Pool,404
Natural Care,2021-06-23,20mg,RHUBARB,179
Mometasone Furoate,2021-03-14,10mg,RINGERS,214
Macadamia Nut,2020-12-30,500mg,Antibiotic and Pain Relief,130
Topcare All Day Pain Relief,2021-08-05,10mg,Advanced Protection,742
Detox Healing BB,2021-03-25,50mg,Good Neighbor Pharmacy Lansoprazole,720
Demeclocycline Hydrochloride,2021-01-23,20mg,First Force,605
APOMORPHINUM MURIATICUM,2021-08-16,15mg,Alprazolam,697
Wal-Fex,2021-06-08,500mg,Sucralfate,671
ESSENCE OF BEAUTY,2021-11-24,10mg,Mupirocin,145
SEROQUEL,2021-07-20,5mg,Leader ibuprofen,226
ANTIBACTERIAL WIPES Fresh Aloe,2021-11-29,20mg,Actos,238
CVS Pharmacy,2021-10-12,25mg,"levomefolate calcium, pyridoxal 5-phosphate, methylcobalamin and schizochytrium dha oil",666
Smart Sense DayTime,2020-12-06,50mg,Petasites Veronica,336
Creon,2021-08-09,50mg,Tarka,865
Carvedilol,2021-10-06,20mg,Clonidine Hydrochloride,209
Lubriderm Daily,2020-12-05,500mg,Torsemide,262
PAUL AND JOE SILKY SMOOTH FOUNDATION UV 301,2021-09-26,50mg,TMC-A Anti Hairloss,33
Guaifenesin DAC,2021-10-07,25mg,Tizanidine,290
Bac Stop,2021-02-18,5mg,Antiseptic,894
GEMCITABINE HYDROCHLORIDE,2021-02-22,500mg,Fluconazole,114
Acetaminophen,2021-07-15,500mg,Me-PB-Hyos,355
Hand wash,2020-12-15,5mg,Ultra-TechneKow,56
LIGUSTRUM VULGARE POLLEN,2020-12-17,25mg,Ramipril,611
LISINOPRIL AND HYDROCHLOROTHIAZIDE,2021-04-19,500mg,POLYPHENOL C15 BROAD SPECTRUM SPF20 ANTI-WRINKLE PROTECT FLUID,177
CELLULAR RADIANCE SUNSCREEN SPF 30,2020-12-12,20mg,Bitternut Hickory,801
Treatment Set TS348283,2021-04-19,10mg,Zyprexa,866
Naproxen,2021-01-14,500mg,Traumeel,573
SEPHORA Bronze Perfect CC sunscreen broad spectrum SPF 20,2021-04-28,100mg,Medrox,439
SoftSoap Antibacterial with moisturizers Fresh Citrus,2021-04-13,50mg,Survanta,621
Banana Boat Sport SPF 30,2021-04-18,50mg,Ergocalciferol,481
Bioelements,2021-01-31,5mg,venlafaxine hydrochloride,436
safeHands,2021-02-13,10mg,Nausea Headache,743
Oxygen,2021-02-01,200mg,Amlodipine Besylate,274
Alpha CF,2021-01-03,15mg,Propofol,36
Fluoxetine,2021-06-11,50mg,Mango,544
Zosyn,2021-04-27,10mg,Promethazine Hydrochloride,925
Aspirin,2021-02-20,100mg,Childrens Ibuprofen,876
Acetylcysteine,2021-06-05,15mg,LBEL HYDRATESS,432
up and up,2021-08-01,50mg,PediaCare Infants Gas Relief,579
SunZone Baby Sunscreen SPF-60,2021-03-09,20mg,Prednisolone,540
Denti-Care,2021-07-31,500mg,Rheumatism,97
ONDANSETRON,2021-05-27,500mg,Carboplatin,128
Aloetouch Protect Skin Protectant Wipes,2021-06-25,200mg,Nicotine,529
Acetaminophen,2021-01-03,10mg,Bentyl,66
UV Capture Vita Sun Gel,2021-10-20,100mg,Potassium Chloride,83
YOUTH DEW ROLL-ON ANTIPERSPIRANT DEODORANT,2021-09-08,200mg,Obao,246
Acacia,2021-02-03,10mg,BLEPHAMIDE,463
Creamy Beige Expert Finish Makeup Makeup Broad Spectrum SPF 25,2021-11-25,25mg,Tolnaftate Antifungal,354
Oxycodone and Acetaminophen,2021-03-19,15mg,Antacid,422
Excedrin Extra Strength,2021-11-08,5mg,Badger Sport SPF 35 Sunscreen,693
Fluvoxamine Maleate,2021-08-17,25mg,RHIZOPUS ARRHIZUS VAR ARRHIZUS,534
Promethazine Hydrochloride,2021-01-04,500mg,Clonazepam,591
Viagra,2021-01-08,200mg,Grama grass Pollen,430
Protonix,2021-08-27,15mg,CYCLOPHOSPHAMIDE,470
Colloidal Iodine,2021-11-12,5mg,Naproxen,870
flormar Foundation Sunscreen Broad Spectrum SPF 20 LF19 BEIGE,2021-10-25,100mg,Cetirizine hydrochloride,883
Loperamide Hydrochloride,2021-04-27,20mg,Enoxaparin sodium,757
Albuterol Sulfate,2021-03-27,20mg,Waterless Aloe Scented Hand Sanitizer,715
ESTRACE,2021-11-23,100mg,Standardized Perennial Rye Grass Pollen,534
Ciloxan,2021-08-30,200mg,Homeopathic Lymphatic Clear Formula,614
Belladonna,2021-03-16,500mg,Cystografin Dilute,563
CLE DE PEAU BEAUTE REFRESHING PROTECTIVE I,2021-08-19,100mg,Sucralfate,759
Desmopressin Acetate,2021-06-04,500mg,CPDA-1,32
Clorazepate Dipotassium,2021-11-16,100mg,BUPROPION HYDROCHLORIDE,517
CARDIGAN,2021-02-05,50mg,Yellow Pine Pollen,253
Fosinopril Sodium,2021-06-22,20mg,Triple-Vitamin Drops with Fluoride,397
Anastrozole,2021-08-29,10mg,Fentanyl,181
Xyzal,2021-05-24,20mg,Cough - Asthma,404
Ketoprofen,2021-04-15,100mg,Metoclopramide Hydrochloride,482
Sodium Chloride,2021-06-02,100mg,night time,461
Bactrim,2021-07-02,100mg,fexofenadine hydrochloride,337
LOVASTATIN,2020-12-23,20mg,Pre-Tabs DHA,254
DiorSkin Nude 040 Honey Beige,2021-03-06,500mg,ANTIBACTERIAL HAND,180
Candida albicans,2021-05-26,20mg,Drainage Composition,939
benzonatate,2020-12-21,50mg,Stomach Relief,551
Fluoxetine,2020-12-25,500mg,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate",25
Zonisamide,2021-06-27,5mg,Ocean Hand Sanitizer,315
Lemon Hand Sanitizer,2021-12-02,5mg,Purpose,751
Disopyramide Phosphate,2021-02-21,500mg,Antiseptic Hand Cleansing Gel,102
Glipizide,2021-09-29,50mg,tourist spf30,258
LOLIUM PERENNE SSP MULTIFLORUM POLLEN,2021-03-26,15mg,Ibuprofen,827
Anti-Bacterial Gentle Foaming Hand,2021-01-13,25mg,UREA,146
Minocycline Hydrochloride,2021-10-19,15mg,Anti-Bacterial Hand,517
No7 Stay Perfect Foundation Sunscreen SPF 15 Espresso,2021-08-22,5mg,Divalproex Sodium,647
Sertraline,2020-12-05,500mg,fomepizole,252
Osteoplex,2021-05-05,500mg,ibuprofen,937
SunscreenSPF 30,2021-01-22,200mg,Alprazolam,84
Antiseptic Mouth Rinse,2021-05-29,15mg,Clarins Sunscreen Wrinkle Control Moderate Protection SPF 15,672
GOLDENROD POLLEN,2021-04-18,20mg,Carvedilol,522
LEVOTHYROXINE SODIUM,2021-06-24,25mg,EDECRIN,330
SUMATRIPTAN,2021-08-10,5mg,Cilostazol,305
isosorbide mononitrate,2021-07-28,100mg,COTTONTAILS,435
Warm Ginger,2021-08-30,10mg,ENALAPRIL MALEATE,616
Illuminating Daily Moisturizer,2020-12-19,500mg,Miconazole 3,686
Adren Aid,2021-02-09,25mg,Healing Water Amber Flower Anti-Bacterial Hand Sanitizer,539
Triple Complex Calm Tonic,2021-08-02,20mg,laura mercier Tinted Moisturizer Creme Compact Broad Spectrum SPF 20 Sunscreen BLUSH,27
Infants TYLENOL,2021-07-23,10mg,CLE DE PEAU BEAUTE UV PROTECTION,388
dg health pain relief pm,2020-12-31,10mg,SPA Mediterranee for hands Repair Hand,491
Fluoxetine Hydrochloride,2021-07-10,50mg,Diazepam,391
MakeSense,2021-08-15,10mg,Bupropion Hydrochloride,894
Olive Oil Antibacterial Foaming Hand Wash,2021-05-04,50mg,ADVATE,443
Bismutina,2021-10-25,25mg,Freshmint,39
BANANA BOAT,2020-12-08,500mg,Dulcolax,727
Metformin Hydrochloride,2021-03-07,10mg,Tragacanth Gum,300
CHANTIX,2021-10-06,200mg,ELINEST,124
Next 1 Anti-Bacterial Sport,2021-04-03,5mg,ORPHENADRINE CITRATE,376
UV Capture Water Zero Sunspray,2021-02-18,50mg,Overnight Clearing,344
Ultram ER,2021-10-01,50mg,Pro-Den Rx,295
Clearasil Ultra,2021-04-23,20mg,White Alder,305
Petroleum Skin Protectant,2021-08-18,500mg,Clario Ultra Blue Antibacterial Foaming Skin Cleanser,249
Extra Strength Headache Relief,2021-03-12,50mg,Medical Provider Single Use EZ Flu Shot Fluvirin 2014-2015,357
StaphWash Plus,2021-06-28,500mg,Duloxetine,103
Neomycin and Polymyxin B Sulfates and Bacitracin Zinc,2021-05-28,10mg,Tranylcypromine Sulfate,357
Acetaminophen,2021-12-02,15mg,Bacteria Tox,570
Spatherapy,2021-03-03,100mg,Diphenhydramine,415
Extra Strength Headache Relief,2021-04-18,20mg,Lorazepam,681
Degree Women,2021-05-06,50mg,Arnica Montana,647
By Pharmicell Lab Prestige Sun Block,2021-11-26,100mg,Kool Comfort Pain Relieving Roll-On,918
ESIKA PERFECT SKIN COVERAGE CONCEALER SPF 17,2021-07-31,5mg,Theophylline,304
Propranolol Hydrochloride,2021-04-29,100mg,Atomy Sunscreen Beige,522
BEEVENOM TONER,2021-07-22,100mg,SHISEIDO ADVANCED HYDRO-LIQUID COMPACT (REFILL),551
dg health all day allergy,2021-10-19,5mg,Day Time Gelcap,443
Lymphdrainex,2021-09-26,200mg,OXALIPLATIN,980
ENALAPRIL MALEATE,2021-08-12,15mg,Piperacillin and Tazobactam,175
Childrens Mucinex Cough,2021-02-18,25mg,LBEL COULEUR LUXE AMPLIFIER XP,978
POLY-TUSSIN,2021-10-10,25mg,Triamcinolone Acetonide,255
HYDROCODONE BITARTRATE AND ACETAMINOPHEN,2021-03-19,10mg,DawnMist Fluoride,369
Ibuprofen,2021-09-08,5mg,Amiodarone Hydrochloride,382
ESSENCE OF BEAUTY,2021-07-19,200mg,Nexiclon XR,935
Sertraline,2021-07-31,50mg,Soft (Silver) Maple,382
Furosemide,2021-07-07,10mg,Pepper Tree Pollen,704
Phytolacca Kit Refill,2021-01-18,100mg,PrednisoLONE,402
Minocycline,2021-06-06,15mg,Etodolac,835
Calcitriol,2021-03-20,15mg,Sodium Chloride,789
DILTZAC,2021-01-23,10mg,Diphenhydramine Hydrochloride,503
traveler spf15,2021-03-23,10mg,Sore Throat Cherry,408
Potassium Chloride,2021-09-03,5mg,Dynarex HP 3,231
Oxygen,2021-09-13,50mg,Miracle of Aloe Rub Roll On,66
Eco,2021-04-25,25mg,Quiet Rose,313
NOXAFIL,2021-08-23,500mg,Disney PIXAR TOY STORY Antibacterial Hand Wipes,548
02 Balancing Foundation,2021-04-24,500mg,medroxyprogesterone acetate,614
Multi symptom Nighttime,2021-07-26,10mg,Body Essence Raspberry Antibacterial,891
Velivet,2021-08-06,5mg,Erythromycin,963
Vagisil Satin,2021-11-03,100mg,Namenda,366
Pancreaplex,2021-08-30,20mg,Dove,612
SUMATRIPTAN,2021-02-23,200mg,Burkhart Neutral pH,940
Degree,2021-09-15,200mg,A-METHAPRED,859
Healthy Accents ibuprofen,2021-12-03,200mg,Exuviance CoverBlend Skin Caring Foundation,427
Olay Regenerist,2021-02-15,500mg,Levofloxacin,902
Atenolol,2021-02-21,5mg,bareMinerals,227
Topiramate,2021-04-19,50mg,Servo-Stat T Foam,21
Fluconazole,2021-02-05,5mg,ANTIPYRINE AND BENZOCAINE,845
QUERCUS ALBA POLLEN,2020-12-31,25mg,Risperidone,391
Pure Champagne Skin Defense Makeup SPF 15,2021-04-15,20mg,Flu Relief Therapy Night Time,98
Be gone Smoking,2021-05-12,20mg,LASTACAFT,217
Rizatriptan Benzoate,2021-11-27,20mg,NEXIUM,641
Childrens,2021-04-17,100mg,Cold and Flu,540
Glipizide,2021-05-02,50mg,Nighttime Cold and Flu Relief,768
Crest Pro-Health HD,2021-08-30,20mg,Hydrocodone Bitartrate And Acetaminophen,370
Timeless EGF Power Emulsion,2021-06-27,25mg,Extra Strength Headache Relief,800
COUGH HICCOUGH,2021-10-03,500mg,Tobramycin,407
Sugar Free Refreshing Mint Fishermans Friend Menthol Cough Suppressant,2021-07-10,500mg,"Food - Plant Source, Orange Citrus sinensis",733
NIVEA for Men Replenishing Lip Balm,2021-07-25,25mg,Amantadine Hydrochloride,397
Telmisartan and Hydrochlorothiazide,2021-08-26,5mg,Visudyne,559
KEPPRA,2021-02-18,20mg,potassium chloride,251
Denavir,2021-01-10,5mg,Neutrogena Rapid Clear,342
Wintergreen Isopropyl Alcohol,2021-04-22,15mg,Rhizopus oryzae,782
Budpak Oral Maximum Strength,2021-07-18,10mg,Nighttime,743
CENTURY 21 FUNGAL YEAST INFECTION,2021-08-19,20mg,BABY INFANT EARACHE DROPS,955
PreviDent,2021-07-05,100mg,OXYGEN,58
Voriconazole,2021-07-26,50mg,OXYGEN,736
ibuprofen,2021-09-26,15mg,Parlodel,955
Perrigo Citalopram,2021-01-10,10mg,SENSODYNE,24
